DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,1141,0,0,1043,tree,y_weekday
test,0.7553418803418803,0.76751269035533,0.7544910179640718,0.78099173553719,378,123,106,329,tree,y_weekday
train,1.0,1.0,1.0,1.0,1141,0,0,1043,RandomFores,y_weekday
test,0.7403846153846154,0.7522935779816514,0.7365269461077845,0.76875,369,132,111,324,RandomFores,y_weekday
train,0.8397435897435898,0.844582593250444,0.8334794040315513,0.855985598559856,951,190,160,883,GradientBoosting,y_weekday
test,0.782051282051282,0.7918367346938776,0.7744510978043913,0.8100208768267223,388,113,91,344,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,1151,0,0,1033,tree,y_weekend
test,0.7361111111111112,0.7408184679958028,0.7463002114164905,0.7354166666666667,353,120,127,336,tree,y_weekend
train,1.0,1.0,1.0,1.0,1151,0,0,1033,RandomFores,y_weekend
test,0.8141025641025641,0.8148936170212765,0.8097251585623678,0.8201284796573876,383,90,84,379,RandomFores,y_weekend
train,0.8626373626373627,0.8677248677248678,0.8549087749782798,0.8809310653536258,984,167,133,900,GradientBoosting,y_weekend
test,0.8333333333333334,0.8340425531914893,0.828752642706131,0.8394004282655246,392,81,75,388,GradientBoosting,y_weekend
