cols,importance,model_name,model_target
order_weekday,0.38518145949371835,tree,y_weekday
order_weekend,0.2616797759855307,tree,y_weekday
order,0.07104447655462207,tree,y_weekday
delta_avg,0.026070092220159703,tree,y_weekday
order_time_18,0.021042274148462353,tree,y_weekday
order_time_16,0.020631272979352647,tree,y_weekday
order_time_12,0.02009265652011911,tree,y_weekday
order_time_19,0.019563178814763542,tree,y_weekday
order_delivery,0.019535721174528786,tree,y_weekday
order_time_15,0.017989011308853012,tree,y_weekday
order_takeout,0.017328060305419554,tree,y_weekday
order_time_11,0.016421229602312484,tree,y_weekday
order_time_17,0.015536944136886856,tree,y_weekday
order_time_13,0.015217020738554939,tree,y_weekday
order_time_21,0.013581511971804471,tree,y_weekday
order_fin,0.013198161744565014,tree,y_weekday
order_time_14,0.007933865076722219,tree,y_weekday
order_time_20,0.006283572311798119,tree,y_weekday
order_cancel,0.00517704294586015,tree,y_weekday
store_青梅店,0.0045476993367812215,tree,y_weekday
store_高田馬場店,0.0026288578181986287,tree,y_weekday
store_足立店,0.0025292017701884877,tree,y_weekday
store_逗子店,0.002516991528062523,tree,y_weekday
store_大塚店,0.0024968890878748133,tree,y_weekday
store_八王子店,0.0024633371407564953,tree,y_weekday
store_蒲田店,0.0024121168810599127,tree,y_weekday
store_武蔵野店,0.0023410027367635894,tree,y_weekday
store_高座店,0.002221116605580074,tree,y_weekday
store_川越店,0.0008302156217183766,tree,y_weekday
store_保土ケ谷店,0.0005194199608575103,tree,y_weekday
store_さいたま緑店,0.0005001320861535957,tree,y_weekday
store_つくば店,0.00048569139197063917,tree,y_weekday
store_清瀬店,0.0,tree,y_weekday
store_港北店,0.0,tree,y_weekday
store_港南店,0.0,tree,y_weekday
store_瀬谷店,0.0,tree,y_weekday
store_熊谷店,0.0,tree,y_weekday
store_狛江店,0.0,tree,y_weekday
store_狭山店,0.0,tree,y_weekday
store_栃木店,0.0,tree,y_weekday
store_王子店,0.0,tree,y_weekday
store_町田店,0.0,tree,y_weekday
store_白井店,0.0,tree,y_weekday
store_目黒店,0.0,tree,y_weekday
store_相模原店,0.0,tree,y_weekday
store_石神井店,0.0,tree,y_weekday
store_東松山店,0.0,tree,y_weekday
store_磯子店,0.0,tree,y_weekday
store_神奈川店,0.0,tree,y_weekday
store_神田店,0.0,tree,y_weekday
store_渋谷店,0.0,tree,y_weekday
store_浦安店,0.0,tree,y_weekday
store_海老名店,0.0,tree,y_weekday
store_水戸店,0.0,tree,y_weekday
store_桐生店,0.0,tree,y_weekday
store_横浜南店,0.0,tree,y_weekday
store_横浜緑店,0.0,tree,y_weekday
store_柏店,0.0,tree,y_weekday
store_横須賀店,0.0,tree,y_weekday
store_板橋店,0.0,tree,y_weekday
store_武蔵村山店,0.0,tree,y_weekday
store_秦野店,0.0,tree,y_weekday
store_江戸川店,0.0,tree,y_weekday
store_栄店,0.0,tree,y_weekday
store_江東店,0.0,tree,y_weekday
store_池尻店,0.0,tree,y_weekday
store_池袋店,0.0,tree,y_weekday
store_松戸店,0.0,tree,y_weekday
store_泉店,0.0,tree,y_weekday
store_流山店,0.0,tree,y_weekday
store_浅草店,0.0,tree,y_weekday
store_浦和店,0.0,tree,y_weekday
store_福生店,0.0,tree,y_weekday
store_草加店,0.0,tree,y_weekday
store_稲城店,0.0,tree,y_weekday
store_立川店,0.0,tree,y_weekday
store_赤羽店,0.0,tree,y_weekday
store_越谷店,0.0,tree,y_weekday
store_足利店,0.0,tree,y_weekday
store_足柄上店,0.0,tree,y_weekday
store_那珂店,0.0,tree,y_weekday
store_都筑店,0.0,tree,y_weekday
store_金沢店,0.0,tree,y_weekday
store_銀座店,0.0,tree,y_weekday
store_鎌倉店,0.0,tree,y_weekday
store_青山店,0.0,tree,y_weekday
store_青葉店,0.0,tree,y_weekday
store_館林店,0.0,tree,y_weekday
store_駒沢店,0.0,tree,y_weekday
store_駒込店,0.0,tree,y_weekday
store_高円寺店,0.0,tree,y_weekday
store_高島平店,0.0,tree,y_weekday
store_高崎店,0.0,tree,y_weekday
store_高津店,0.0,tree,y_weekday
store_鴻巣店,0.0,tree,y_weekday
store_赤坂店,0.0,tree,y_weekday
store_谷中店,0.0,tree,y_weekday
store_調布店,0.0,tree,y_weekday
store_茂原店,0.0,tree,y_weekday
store_綾瀬店,0.0,tree,y_weekday
store_練馬店,0.0,tree,y_weekday
store_羽村店,0.0,tree,y_weekday
store_羽生店,0.0,tree,y_weekday
store_習志野店,0.0,tree,y_weekday
store_自由が丘店,0.0,tree,y_weekday
store_船橋店,0.0,tree,y_weekday
store_若葉店,0.0,tree,y_weekday
store_茅ヶ崎店,0.0,tree,y_weekday
store_西葛西店,0.0,tree,y_weekday
store_東尾久店,0.0,tree,y_weekday
store_荒川店,0.0,tree,y_weekday
store_荻窪店,0.0,tree,y_weekday
store_葛飾店,0.0,tree,y_weekday
store_藤沢店,0.0,tree,y_weekday
store_行田店,0.0,tree,y_weekday
store_西多摩店,0.0,tree,y_weekday
store_西東京店,0.0,tree,y_weekday
store_東村山店,0.0,tree,y_weekday
store_日本橋店,0.0,tree,y_weekday
store_東大和店,0.0,tree,y_weekday
store_君津店,0.0,tree,y_weekday
store_前橋店,0.0,tree,y_weekday
store_北千住店,0.0,tree,y_weekday
store_千葉中央店,0.0,tree,y_weekday
store_千葉緑店,0.0,tree,y_weekday
