DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,819,0,0,682,tree,y_weekday
test,0.8074534161490683,0.8243626062322947,0.8290598290598291,0.819718309859155,291,60,64,229,tree,y_weekday
train,1.0,1.0,1.0,1.0,819,0,0,682,RandomFores,y_weekday
test,0.7981366459627329,0.8142857142857142,0.811965811965812,0.8166189111747851,285,66,64,229,RandomFores,y_weekday
train,0.8954030646235843,0.9051359516616314,0.9145299145299145,0.895933014354067,749,70,87,595,GradientBoosting,y_weekday
test,0.827639751552795,0.8416547788873038,0.8404558404558404,0.8428571428571429,295,56,55,238,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,803,0,0,698,tree,y_weekend
test,0.718944099378882,0.743988684582744,0.775811209439528,0.7146739130434783,263,76,105,200,tree,y_weekend
train,1.0,1.0,1.0,1.0,803,0,0,698,RandomFores,y_weekend
test,0.7857142857142857,0.7927927927927928,0.7787610619469026,0.8073394495412844,264,75,63,242,RandomFores,y_weekend
train,0.8587608261159227,0.8608923884514436,0.8169364881693649,0.9098474341192788,656,147,65,633,GradientBoosting,y_weekend
test,0.8105590062111802,0.8128834355828222,0.7817109144542773,0.8466453674121406,265,74,48,257,GradientBoosting,y_weekend
