cols,importance
order_weekday,0.38518145949371835
order_weekend,0.2616797759855307
order,0.07104447655462207
delta_avg,0.026070092220159703
order_time_18,0.021042274148462353
order_time_16,0.020631272979352647
order_time_12,0.02009265652011911
order_time_19,0.019563178814763542
order_delivery,0.019535721174528786
order_time_15,0.017989011308853012
order_takeout,0.017328060305419554
order_time_11,0.016421229602312484
order_time_17,0.015536944136886856
order_time_13,0.015217020738554939
order_time_21,0.013581511971804471
order_fin,0.013198161744565014
order_time_14,0.007933865076722219
order_time_20,0.006283572311798119
order_cancel,0.00517704294586015
store_青梅店,0.0045476993367812215
store_高田馬場店,0.0026288578181986287
store_足立店,0.0025292017701884877
store_逗子店,0.002516991528062523
store_大塚店,0.0024968890878748133
store_八王子店,0.0024633371407564953
store_蒲田店,0.0024121168810599127
store_武蔵野店,0.0023410027367635894
store_高座店,0.002221116605580074
store_川越店,0.0008302156217183766
store_保土ケ谷店,0.0005194199608575103
store_さいたま緑店,0.0005001320861535957
store_つくば店,0.00048569139197063917
store_清瀬店,0.0
store_港北店,0.0
store_港南店,0.0
store_瀬谷店,0.0
store_熊谷店,0.0
store_狛江店,0.0
store_狭山店,0.0
store_栃木店,0.0
store_王子店,0.0
store_町田店,0.0
store_白井店,0.0
store_目黒店,0.0
store_相模原店,0.0
store_石神井店,0.0
store_東松山店,0.0
store_磯子店,0.0
store_神奈川店,0.0
store_神田店,0.0
store_渋谷店,0.0
store_浦安店,0.0
store_海老名店,0.0
store_水戸店,0.0
store_桐生店,0.0
store_横浜南店,0.0
store_横浜緑店,0.0
store_柏店,0.0
store_横須賀店,0.0
store_板橋店,0.0
store_武蔵村山店,0.0
store_秦野店,0.0
store_江戸川店,0.0
store_栄店,0.0
store_江東店,0.0
store_池尻店,0.0
store_池袋店,0.0
store_松戸店,0.0
store_泉店,0.0
store_流山店,0.0
store_浅草店,0.0
store_浦和店,0.0
store_福生店,0.0
store_草加店,0.0
store_稲城店,0.0
store_立川店,0.0
store_赤羽店,0.0
store_越谷店,0.0
store_足利店,0.0
store_足柄上店,0.0
store_那珂店,0.0
store_都筑店,0.0
store_金沢店,0.0
store_銀座店,0.0
store_鎌倉店,0.0
store_青山店,0.0
store_青葉店,0.0
store_館林店,0.0
store_駒沢店,0.0
store_駒込店,0.0
store_高円寺店,0.0
store_高島平店,0.0
store_高崎店,0.0
store_高津店,0.0
store_鴻巣店,0.0
store_赤坂店,0.0
store_谷中店,0.0
store_調布店,0.0
store_茂原店,0.0
store_綾瀬店,0.0
store_練馬店,0.0
store_羽村店,0.0
store_羽生店,0.0
store_習志野店,0.0
store_自由が丘店,0.0
store_船橋店,0.0
store_若葉店,0.0
store_茅ヶ崎店,0.0
store_西葛西店,0.0
store_東尾久店,0.0
store_荒川店,0.0
store_荻窪店,0.0
store_葛飾店,0.0
store_藤沢店,0.0
store_行田店,0.0
store_西多摩店,0.0
store_西東京店,0.0
store_東村山店,0.0
store_日本橋店,0.0
store_東大和店,0.0
store_君津店,0.0
store_前橋店,0.0
store_北千住店,0.0
store_千葉中央店,0.0
store_千葉緑店,0.0
store_南砂店,0.0
store_南足柄店,0.0
store_厚木店,0.0
store_取手店,0.0
store_向島店,0.0
store_和光店,0.0
store_八潮店,0.0
store_品川店,0.0
store_四街道店,0.0
store_国分寺店,0.0
store_国立店,0.0
store_坂戸店,0.0
store_墨田店,0.0
store_多摩店,0.0
store_大久保店,0.0
store_大井店,0.0
store_六本木店,0.0
store_八千代店,0.0
store_東久留米店,0.0
store_中店,0.0
store_あきる野店,0.0
store_さいたま南店,0.0
store_さいたま西店,0.0
store_三浦店,0.0
store_三鷹店,0.0
store_上尾店,0.0
store_上野店,0.0
store_世田谷店,0.0
store_中原店,0.0
store_中野店,0.0
store_入間店,0.0
store_久喜店,0.0
store_九段店,0.0
store_亀有店,0.0
store_五反田店,0.0
store_代々木店,0.0
store_伊勢原店,0.0
store_伊勢崎店,0.0
store_佐倉店,0.0
store_佐野店,0.0
store_大和店,0.0
store_大宮店,0.0
store_大森店,0.0
store_新座店,0.0
store_恵比寿店,0.0
store_愛甲店,0.0
store_成城店,0.0
store_成田店,0.0
store_我孫子店,0.0
store_戸塚店,0.0
store_戸田店,0.0
store_所沢店,0.0
store_新宿店,0.0
store_日立店,0.0
store_大泉店,0.0
store_日野店,0.0
store_旭店,0.0
store_春日部店,0.0
store_昭島店,0.0
store_木更津店,0.0
store_本庄店,0.0
store_本郷店,0.0
store_杉並店,0.0
store_東中野店,0.0
store_志木店,0.0
store_座間店,0.0
store_府中店,0.0
store_幸店,0.0
store_大田店,0.0
store_太田店,0.0
store_宇都宮店,0.0
store_守谷店,0.0
store_宮前店,0.0
store_富岡店,0.0
store_富津店,0.0
store_富里店,0.0
store_小山店,0.0
store_小平店,0.0
store_小田原店,0.0
store_小金井店,0.0
store_川口店,0.0
store_川崎多摩店,0.0
store_川崎店,0.0
store_巣鴨店,0.0
store_市原店,0.0
store_市川店,0.0
store_平塚店,0.0
store_鶴見店,0.0
