cols,importance,model_name,model_target
order_weekday,0.3168762769248654,tree,y_weekday
order_weekend,0.258022223425743,tree,y_weekday
order_delivery,0.03739614646216772,tree,y_weekday
order_time_20,0.03622855349667047,tree,y_weekday
order_takeout,0.03593927463076153,tree,y_weekday
delta_avg,0.03584698916242855,tree,y_weekday
order_time_11,0.033180045693570255,tree,y_weekday
order_time_14,0.028240917476201378,tree,y_weekday
order_fin,0.024801469296518587,tree,y_weekday
order_time_17,0.024438765462932777,tree,y_weekday
order,0.022716210369669382,tree,y_weekday
order_time_13,0.021831624084653795,tree,y_weekday
order_cancel,0.02141757511554206,tree,y_weekday
order_time_21,0.020153127203024614,tree,y_weekday
order_time_18,0.019059598511960443,tree,y_weekday
order_time_16,0.018008733979449656,tree,y_weekday
order_time_12,0.017004440149187488,tree,y_weekday
order_time_15,0.008759755851607988,tree,y_weekday
order_time_19,0.0052964959147904275,tree,y_weekday
store_武蔵野店,0.0019476186329434012,tree,y_weekday
store_中野店,0.0018485871770310242,tree,y_weekday
store_五反田店,0.0018282730322284843,tree,y_weekday
store_瀬谷店,0.001817814690730565,tree,y_weekday
store_小金井店,0.0016791422262562197,tree,y_weekday
store_船橋店,0.001320419412165017,tree,y_weekday
store_足立店,0.0009903145591237629,tree,y_weekday
store_新宿店,0.0009002859628397853,tree,y_weekday
store_佐野店,0.0008665252392332924,tree,y_weekday
store_神田店,0.0006260609281816919,tree,y_weekday
store_町田店,0.0005776834928221962,tree,y_weekday
store_駒沢店,0.00037905143469909273,tree,y_weekday
store_板橋店,0.0,tree,y_weekday
store_狛江店,0.0,tree,y_weekday
store_清瀬店,0.0,tree,y_weekday
store_渋谷店,0.0,tree,y_weekday
store_港北店,0.0,tree,y_weekday
store_港南店,0.0,tree,y_weekday
store_熊谷店,0.0,tree,y_weekday
store_王子店,0.0,tree,y_weekday
store_狭山店,0.0,tree,y_weekday
store_浦安店,0.0,tree,y_weekday
store_白井店,0.0,tree,y_weekday
store_目黒店,0.0,tree,y_weekday
store_相模原店,0.0,tree,y_weekday
store_石神井店,0.0,tree,y_weekday
store_磯子店,0.0,tree,y_weekday
store_神奈川店,0.0,tree,y_weekday
store_海老名店,0.0,tree,y_weekday
store_浅草店,0.0,tree,y_weekday
store_浦和店,0.0,tree,y_weekday
store_武蔵村山店,0.0,tree,y_weekday
store_栃木店,0.0,tree,y_weekday
store_栄店,0.0,tree,y_weekday
store_桐生店,0.0,tree,y_weekday
store_横浜南店,0.0,tree,y_weekday
store_横浜緑店,0.0,tree,y_weekday
store_松戸店,0.0,tree,y_weekday
store_東松山店,0.0,tree,y_weekday
store_横須賀店,0.0,tree,y_weekday
store_秦野店,0.0,tree,y_weekday
store_柏店,0.0,tree,y_weekday
store_東村山店,0.0,tree,y_weekday
store_水戸店,0.0,tree,y_weekday
store_江戸川店,0.0,tree,y_weekday
store_江東店,0.0,tree,y_weekday
store_池尻店,0.0,tree,y_weekday
store_池袋店,0.0,tree,y_weekday
store_泉店,0.0,tree,y_weekday
store_流山店,0.0,tree,y_weekday
store_福生店,0.0,tree,y_weekday
store_茅ヶ崎店,0.0,tree,y_weekday
store_稲城店,0.0,tree,y_weekday
store_青梅店,0.0,tree,y_weekday
store_足利店,0.0,tree,y_weekday
store_足柄上店,0.0,tree,y_weekday
store_逗子店,0.0,tree,y_weekday
store_那珂店,0.0,tree,y_weekday
store_都筑店,0.0,tree,y_weekday
store_金沢店,0.0,tree,y_weekday
store_銀座店,0.0,tree,y_weekday
store_鎌倉店,0.0,tree,y_weekday
store_青山店,0.0,tree,y_weekday
store_青葉店,0.0,tree,y_weekday
store_赤羽店,0.0,tree,y_weekday
store_館林店,0.0,tree,y_weekday
store_駒込店,0.0,tree,y_weekday
store_高円寺店,0.0,tree,y_weekday
store_高島平店,0.0,tree,y_weekday
store_高崎店,0.0,tree,y_weekday
store_高座店,0.0,tree,y_weekday
store_高津店,0.0,tree,y_weekday
store_高田馬場店,0.0,tree,y_weekday
store_鴻巣店,0.0,tree,y_weekday
store_越谷店,0.0,tree,y_weekday
store_赤坂店,0.0,tree,y_weekday
store_立川店,0.0,tree,y_weekday
store_草加店,0.0,tree,y_weekday
store_綾瀬店,0.0,tree,y_weekday
store_練馬店,0.0,tree,y_weekday
store_羽村店,0.0,tree,y_weekday
store_羽生店,0.0,tree,y_weekday
store_習志野店,0.0,tree,y_weekday
store_自由が丘店,0.0,tree,y_weekday
store_若葉店,0.0,tree,y_weekday
store_茂原店,0.0,tree,y_weekday
store_東大和店,0.0,tree,y_weekday
store_荒川店,0.0,tree,y_weekday
store_谷中店,0.0,tree,y_weekday
store_荻窪店,0.0,tree,y_weekday
store_葛飾店,0.0,tree,y_weekday
store_蒲田店,0.0,tree,y_weekday
store_藤沢店,0.0,tree,y_weekday
store_行田店,0.0,tree,y_weekday
store_西多摩店,0.0,tree,y_weekday
store_西東京店,0.0,tree,y_weekday
store_西葛西店,0.0,tree,y_weekday
store_調布店,0.0,tree,y_weekday
store_東尾久店,0.0,tree,y_weekday
store_日本橋店,0.0,tree,y_weekday
store_東久留米店,0.0,tree,y_weekday
store_向島店,0.0,tree,y_weekday
store_六本木店,0.0,tree,y_weekday
store_前橋店,0.0,tree,y_weekday
store_北千住店,0.0,tree,y_weekday
store_千葉中央店,0.0,tree,y_weekday
store_千葉緑店,0.0,tree,y_weekday
store_南砂店,0.0,tree,y_weekday
store_南足柄店,0.0,tree,y_weekday
store_厚木店,0.0,tree,y_weekday
store_取手店,0.0,tree,y_weekday
store_君津店,0.0,tree,y_weekday
store_八潮店,0.0,tree,y_weekday
store_和光店,0.0,tree,y_weekday
store_品川店,0.0,tree,y_weekday
store_四街道店,0.0,tree,y_weekday
store_国分寺店,0.0,tree,y_weekday
store_国立店,0.0,tree,y_weekday
store_坂戸店,0.0,tree,y_weekday
store_墨田店,0.0,tree,y_weekday
store_多摩店,0.0,tree,y_weekday
store_大久保店,0.0,tree,y_weekday
store_八王子店,0.0,tree,y_weekday
store_八千代店,0.0,tree,y_weekday
store_東中野店,0.0,tree,y_weekday
store_世田谷店,0.0,tree,y_weekday
store_あきる野店,0.0,tree,y_weekday
store_さいたま南店,0.0,tree,y_weekday
store_さいたま緑店,0.0,tree,y_weekday
store_さいたま西店,0.0,tree,y_weekday
store_つくば店,0.0,tree,y_weekday
store_三浦店,0.0,tree,y_weekday
store_三鷹店,0.0,tree,y_weekday
store_上尾店,0.0,tree,y_weekday
store_上野店,0.0,tree,y_weekday
