DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,1131,0,0,916,tree,y_weekday
test,0.7232346241457859,0.7512794268167862,0.7181996086105675,0.7875536480686696,367,144,99,268,tree,y_weekday
train,1.0,1.0,1.0,1.0,1131,0,0,916,RandomFores,y_weekday
test,0.7369020501138952,0.7706057596822244,0.7592954990215264,0.782258064516129,388,123,108,259,RandomFores,y_weekday
train,0.8339032730825598,0.8499558693733451,0.8514588859416445,0.8484581497797357,963,168,172,744,GradientBoosting,y_weekday
test,0.7801822323462415,0.805247225025227,0.7808219178082192,0.83125,399,112,81,286,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,1009,0,0,1038,tree,y_weekend
test,0.7380410022779044,0.7331786542923433,0.7523809523809524,0.7149321266968326,316,104,126,332,tree,y_weekend
train,1.0,1.0,1.0,1.0,1009,0,0,1038,RandomFores,y_weekend
test,0.8211845102505695,0.8106151990349819,0.8,0.8215158924205379,336,84,73,385,RandomFores,y_weekend
train,0.8558866634098681,0.8495665476797553,0.8255698711595639,0.875,833,176,119,919,GradientBoosting,y_weekend
test,0.8302961275626424,0.8211284513805522,0.8142857142857143,0.8280871670702179,342,78,71,387,GradientBoosting,y_weekend
